	Acinonyx_jubatus__aciJub1_HiC.fasta_v2.functional.proteins	Ailurus_fulgens__ASM200746v1_HiC.fasta_v2.functional.proteins	Axis_porcinus__ASM379854v1_HiC.fasta_v2.functional.proteins	Balaenoptera_edeni__Balaenoptera_edeni_HiC.fasta_v2.functional.proteins	Bassariscus_sumichrasti__Bassariscus_sumichrasti_HiC.fasta_v2.functional.proteins	Bison_bison__Bison_UMD1.0_HiC.fasta_v2.functional.proteins	Camelus_dromedarius__PRJNA234474_Ca_dromedarius_V1.0_HiC.fasta_v2.functional.proteins	Canis_lupus_dingo__ASM325472v1_HiC.fasta_v2.functional.proteins	Canis_lupus_familiaris__canFamDis_HiC.fasta_v2.functional.proteins	Castor_canadensis__C.can_genome_v1.0_HiC.fasta_v2.functional.proteins	Cavia_porcellus__Cavpor3.0_HiC.fasta_v2.functional.proteins	Cebuella_pygmaea__Cebuella_pygmaea_HiC.fasta_v2.functional.proteins	Ceratotherium_simum__CerSimSim1.0_HiC.fasta_v2.functional.proteins	Chinchilla_x__ChiLan1.0_HiC.fasta_v2.functional.proteins	Choloepus_hoffmanni__C_hoffmanni-2.0.1_HiC.fasta_v2.functional.proteins	Coendou_prehensilis__Coendou_prehensilis_HiC.fasta_v2.functional.proteins	Connochaetes_taurinus__BWD_HiC.fasta_v2.functional.proteins	Cricetulus_griseus__CriGri-PICR_HiC.fasta_v2.functional.proteins	Crocuta_crocuta__Crocuta_crocuta_HiC.fasta_v2.functional.proteins	Cryptoprocta_ferox__Cryptoprocta_ferox_HiC.fasta_v2.functional.proteins	Delphinapterus_leucas__ASM228892v2_HiC.fasta_v2.functional.proteins	Didelphis_virginiana__dv-2k.fasta_v2.functional.proteins	Eidolon_helvum__ASM46528v1_HiC.fasta_v2.functional.proteins	Elephas_maximus__Elephas_maximus_HiC.fasta_v2.functional.proteins	Enhydra_lutris__ASM228890v2_HiC.fasta_v2.functional.proteins	Equus_asinus__ASM303372v1_HiC.fasta_v2.functional.proteins	Erethizon_dorsatum__GSC_porc_1.0_HiC.fasta_v2.functional.proteins	Eubalaena_glacialis__Eubalaena_glacialis_HiC.fasta_v2.functional.proteins	Eulemur_flavifrons__Eflavifronsk33QCA_HiC.fasta_v2.functional.proteins	Fukomys_damarensis__DMR_v1.0_HiC.fasta_v2.functional.proteins	Giraffa_camelopardalis__ASM165123v1_HiC.fasta_v2.functional.proteins	Globicephala_melas__ASM654740v1_HiC.fasta_v2.functional.proteins	Hippotragus_niger__Sable_antelope_Masurca.scf_HiC.fasta_v2.functional.proteins	Lagenorhynchus_obliquidens__ASM367639v1_HiC.fasta_v2.functional.proteins	Lama_glama__Lama_glama_HiC.fasta_v2.functional.proteins	Litocranius_walleri__GRK_HiC.fasta_v2.functional.proteins	Lutra_lutra__mLutLut1_HiC.fasta_v2.functional.proteins	Lycaon_pictus__sis2-181106_HiC.fasta_v2.functional.proteins	Macropus_eugenii__me-1k.fasta_v2.functional.proteins	Macropus_fuliginosus__mf-2k.fasta_v2.functional.proteins	Macropus_giganteus__mg-2k.fasta_v2.functional.proteins	Macropus_rufus__mr-2k.fasta_v2.functional.proteins	Mandrillus_sphinx__BGI_mandrill_1.0_HiC.fasta_v2.functional.proteins	Mesocricetus_auratus__MesAur1.0_HiC.fasta_v2.functional.proteins	Microcebus_murinus__Mmur_3.0_HiC.fasta_v2.functional.proteins	Mirounga_angustirostris__Mirounga_angustirostris_HiC.fasta_v2.functional.proteins	Monodelphis_domestica__MonDom5_HiC.fasta_v2.functional.proteins	Muntiacus_reevesi__CIJ_HiC.fasta_v2.functional.proteins	Mustela_putorius_furo__MusPutFur1.0_HiC.fasta_v2.functional.proteins	Myotis_lucifugus__Myoluc2.0_HiC.fasta_v2.functional.proteins	Nasua_narica__Nasua_narica_HiC.fasta_v2.functional.proteins	Neofelis_nebulosa__Neofelis_nebulosa_HiC.fasta_v2.functional.proteins	Odobenus_rosmarus__Oros_1.0_HiC.fasta_v2.functional.proteins	Odocoileus_virginianus__Ovir.te_1.0_HiC.fasta_v2.functional.proteins	Okapia_johnstoni__ASM166083v1_HiC.fasta_v2.functional.proteins	Orcinus_orca__Oorc_1.1_HiC.fasta_v2.functional.proteins	Orycteropus_afer__OryAfe1.0_HiC.fasta_v2.functional.proteins	Oryctolagus_cuniculus__OryCun2.0_HiC.fasta_v2.functional.proteins	Oryx_dammah__oryx.1_HiC.fasta_v2.functional.proteins	Panthera_onca__Panthera_onca_HiC.fasta_v2.functional.proteins	Panthera_pardus__PanPar1.0_HiC.fasta_v2.functional.proteins	Panthera_tigris__PanTig1.0_HiC.fasta_v2.functional.proteins	Peponocephala_electra__Peponocephala_electra_HiC.fasta_v2.functional.proteins	Peromyscus_crinitus__pecr10X_v2_HiC.fasta_v2.functional.proteins	Peromyscus_nasutus__Peromyscus_nasutus_10x_v1_HiC.fasta_v2.functional.proteins	Phalanger_gymnotis__pg-2k.fasta_v2.functional.proteins	Phoca_vitulina__GSC_HSeal_1.0_HiC.fasta_v2.functional.proteins	Phocoena_phocoena__Phocoena_phocoena_HiC.fasta_v2.functional.proteins	Potos_flavus__Potos_flavus_HiC.fasta_v2.functional.proteins	Procavia_capensis__Pcap_2.0_HiC.fasta_v2.functional.proteins	Procyon_lotor__pl-1k.fasta_v2.functional.proteins	Propithecus_coquereli__Pcoq_1.0_HiC.fasta_v2.functional.proteins	Pseudocheirus_occidentalis__Pseudocheirus_occidentalis_HiC.fasta_v2.functional.proteins	Pseudochirops_corinnae__Pseudochirops_corinnae_HiC.fasta_v2.functional.proteins	Pseudochirops_cupreus__Pseudochirops_cupreus_HiC.fasta_v2.functional.proteins	Pteropus_rufus__Pteropus_rufus_HiC.fasta_v2.functional.proteins	Pteropus_vampyrus__Pvam_2.0_HiC.fasta_v2.functional.proteins	Puma_concolor__PumCon1.0_HiC.fasta_v2.functional.proteins	Saimiri_boliviensis__saiBolDis_HiC.fasta_v2.functional.proteins	Struthio_camelus__ASM69896v1_HiC.fasta_v2.functional.proteins	Suricata_suricatta__meerkat_22Aug2017_6uvM2_HiC.fasta_v2.functional.proteins	Tapirus_indicus__Tapirus_indicus_HiC.fasta_v2.functional.proteins	Trichechus_manatus__TriManLat1.0_HiC.fasta_v2.functional.proteins	Tursiops_aduncus__ASM322739v1_HiC.fasta_v2.functional.proteins	Tursiops_truncatus__NIST_Tur_tru_v1_HiC.fasta_v2.functional.proteins	Ursus_americanus__ASM334442v1_HiC.fasta_v2.functional.proteins	Ursus_arctos__ASM358476v1_HiC.fasta_v2.functional.proteins	Ursus_maritimus__UrsMar_1.0_HiC.fasta_v2.functional.proteins	Vicugna_pacos__Vicugna_pacos-2.0.1_HiC.fasta_v2.functional.proteins	Vombatus_ursinus__vu-2k.fasta_v2.functional.proteins	Vulpes_vulpes__VulVul2.2_HiC.fasta_v2.functional.proteins
Cebuella_pygmaea__Cebuella_pygmaea_HiC.fasta_v2.functional.proteins	14373	15157	15311	15296	15315	14936	14447	15365	15427	15135	14712	20259	15269	14634	15472	14340	15177	15061	15273	15363	15225	13856	13759	15222	13790	15175	14583	14383	15433	14595	15190	14806	13973	15092	15160	15270	15381	14992	13937	13876	14005	13923	17012	14609	15610	15384	13642	15035	14595	14313	15173	15425	15484	15296	13384	15209	15093	14141	15356	15277	14630	14561	15164	14883	14864	14019	15523	15034	15377	14172	15094	15580	13901	13924	13996	14976	14901	14586	17529	10534	15097	14613	15202	15169	13754	15391	15457	14813	14817	13946	15280
Ceratotherium_simum__CerSimSim1.0_HiC.fasta_v2.functional.proteins	14520	15334	15432	15339	15346	15054	14659	15465	15460	15011	14741	15269	17386	14661	15374	14285	15322	15048	15327	15481	15244	13790	13784	15240	13937	15712	14524	14481	15286	14587	15340	14858	14137	15222	15273	15345	15447	15097	13828	13744	13867	13803	15406	14586	15385	15429	13583	15195	14707	14302	15220	15508	15521	15407	13446	15265	15082	14119	15447	15320	14725	14679	15210	14840	14827	13862	15560	15117	15416	14199	15071	15279	13693	13756	13832	15111	15064	14719	15130	10627	15219	15130	15200	15221	13801	15512	15616	14981	15015	13813	15365
Chinchilla_x__ChiLan1.0_HiC.fasta_v2.functional.proteins	13861	14572	14629	14557	14570	14370	13965	14676	14695	14551	14606	14634	14661	16470	14782	14227	14550	14624	14554	14673	14455	13431	13265	14575	13188	14565	14543	13684	14550	14525	14553	14105	13403	14417	14492	14583	14672	14388	13473	13399	13519	13466	14720	14156	14698	14620	13253	14447	13965	13760	14486	14711	14715	14658	12778	14456	14471	13590	14670	14548	13899	14006	14445	14388	14404	13523	14721	14330	14600	13733	14378	14606	13398	13438	13506	14365	14339	13967	14504	10379	14505	14006	14555	14437	13104	14651	14701	14245	14310	13514	14630
Choloepus_hoffmanni__C_hoffmanni-2.0.1_HiC.fasta_v2.functional.proteins	14507	15270	15375	15320	15336	15054	14583	15474	15476	15247	14892	15472	15374	14782	18419	14465	15258	15158	15316	15422	15234	14024	13930	15384	13842	15287	14679	14457	15243	14768	15257	14825	14047	15188	15183	15373	15348	15083	14128	14026	14150	14089	15521	14732	15464	15376	13809	15142	14633	14455	15227	15443	15503	15344	13423	15207	15312	14317	15390	15292	14692	14691	15158	14972	14945	14172	15498	15096	15357	14322	15115	15378	14065	14097	14123	15034	15052	14721	15358	10639	15202	14674	15352	15217	13864	15457	15463	14923	14924	14092	15357
Coendou_prehensilis__Coendou_prehensilis_HiC.fasta_v2.functional.proteins	13424	14171	14305	14203	14251	13934	13580	14327	14340	14222	14279	14340	14285	14227	14465	16646	14220	14256	14258	14337	14145	13166	12914	14285	12854	14218	15070	13725	14270	14054	14238	13827	13024	14113	14161	14300	14295	13941	13229	13164	13285	13246	14341	13866	14391	14306	12957	14076	13579	13401	14155	14357	14362	14289	12453	14143	14195	13246	14327	14210	13603	13587	14143	14042	14056	13304	14376	14044	14277	13372	14064	14346	13176	13201	13258	14100	14016	13638	14197	10107	14128	13690	14215	14124	12820	14334	14378	13826	13923	13216	14206
Connochaetes_taurinus__BWD_HiC.fasta_v2.functional.proteins	14398	15184	16288	15351	15203	16036	14594	15330	15330	14974	14698	15177	15322	14550	15258	14220	18532	14992	15178	15326	15263	13788	13767	15151	13782	15267	14448	14476	15114	14524	16131	14863	15532	15210	15159	16504	15285	14958	13816	13756	13875	13829	15295	14583	15266	15311	13582	16011	14580	14211	15091	15316	15383	16214	14103	15243	15023	14067	16952	15158	14562	14559	15184	14788	14768	13883	15401	15109	15264	14124	14961	15163	13737	13770	13831	14970	14920	14623	15023	10575	15055	14629	15076	15217	13833	15386	15435	14841	14942	13839	15227
Cricetulus_griseus__CriGri-PICR_HiC.fasta_v2.functional.proteins	14196	14962	15111	14994	15039	14704	14304	15171	15191	15027	14710	15061	15048	14624	15158	14256	14992	17232	15024	15177	14896	13799	13587	15053	13632	15017	14520	14140	15030	14534	15044	14518	13824	14852	14946	15055	15139	14780	13833	13766	13873	13826	15154	15284	15146	15112	13582	14853	14387	14112	14967	15183	15239	15093	13171	14896	14887	14017	15132	14988	14378	14325	14864	15441	15466	13903	15246	14732	15115	14060	14828	15036	13759	13811	13867	14833	14740	14378	14933	10581	14921	14448	14953	14860	13508	15172	15240	14632	14661	13854	15062
Crocuta_crocuta__Crocuta_crocuta_HiC.fasta_v2.functional.proteins	14937	15396	15269	15333	15648	14915	14498	15559	15669	15008	14677	15273	15327	14554	15316	14258	15178	15024	18041	16137	15165	13813	13800	15199	13968	15255	14497	14419	15151	14481	15222	14768	13977	15071	15224	15261	15613	15222	13863	13787	13919	13840	15315	14578	15282	15570	13572	15036	14786	14237	15447	16058	15731	15296	13383	15168	15019	14057	15484	15898	15171	15140	15175	14828	14801	13952	15740	15071	15598	14203	15369	15238	13804	13840	13885	15019	14953	15097	15131	10546	15690	14837	15124	15110	13732	15605	15686	15006	14879	13885	15476
Cryptoprocta_ferox__Cryptoprocta_ferox_HiC.fasta_v2.functional.proteins	15132	15544	15439	15410	15672	15032	14586	15701	15736	15131	14777	15363	15481	14673	15422	14337	15326	15177	16137	18194	15271	13873	13870	15285	14144	15393	14589	14517	15291	14590	15329	14867	14078	15199	15313	15358	15728	15338	13917	13856	13976	13917	15446	14675	15417	15732	13666	15159	14887	14358	15569	16272	15890	15404	13419	15254	15105	14154	15483	16093	15402	15305	15221	14940	14924	14018	15908	15096	15732	14261	15450	15333	13861	13895	13964	15129	15048	15290	15217	10616	15928	14853	15218	15231	13818	15759	15832	15165	14961	13925	15612
Delphinapterus_leucas__ASM228892v2_HiC.fasta_v2.functional.proteins	14270	15072	15393	16725	15194	15005	14457	15240	15298	14913	14568	15225	15244	14455	15234	14145	15263	14896	15165	15271	19355	13718	13641	15059	13722	15199	14376	15694	15072	14385	15304	17070	14039	17327	15199	15288	15309	14872	13776	13705	13816	13755	15288	14448	15196	15262	13494	15100	14518	14148	15091	15320	15386	15392	13491	17512	14873	13920	15453	15154	14516	14429	17448	14679	14657	13832	15420	17319	15214	14057	14958	15147	13682	13735	13778	14903	14795	14470	15073	10550	14993	14613	15035	17509	15594	15281	15350	14698	14821	13766	15132
Didelphis_virginiana__dv-2k.fasta_v2.functional.proteins	13061	13738	13841	13772	13861	13538	13122	13877	13894	13748	13607	13856	13790	13431	14024	13166	13788	13799	13813	13873	13718	15938	12643	13929	12504	13777	13317	12963	13748	13402	13806	13362	12686	13679	13720	13839	13853	13563	14094	14023	14167	14088	13842	13476	13888	13800	14261	13638	13158	13033	13720	13878	13918	13830	12128	13717	13878	12969	13849	13756	13180	13190	13675	13645	13639	14171	13908	13635	13853	13123	13644	13816	14061	14103	14131	13640	13626	13262	13752	10417	13686	13246	13864	13678	12557	13848	13862	13390	13483	14101	13758
